id,package,affected_versions
1119,bb-builder,>=0.0.0
1109,device-mqtt,1.0.11
1108,slush-fullstack-framework,0.9.2
1107,pensi-scheduler,1.1.3
1106,pyramid-proportion,1.0.5
1105,ngx-context-menu,0.0.26
1104,@fangrong/xoc,1.0.6
1103,iie-viz,1.0.4
1102,jquery-airload,0.2.5
1101,zemen,0.0.5
1100,uploader-plugin,1.0.2
1099,sailclothjs,1.2.6
1098,cal_rd,>=0.0.0
1089,anarchy,>=0.0.0
1086,fast-requests,>=0.0.0
1085,cage-js,>=0.0.0
1083,rate-map,1.0.3
1082,load-from-cwd-or-npm,3.0.2
1074,nodes.js,>=0.0.0
1073,deasyncp,>=0.0.0
1072,sdfjghlkfjdshlkjdhsfg,>=0.0.0
1064,tiar,>=0.0.0
1063,secure_identity_login_module,>=0.0.0
1062,river-mock,>=0.0.0
1061,retcodelog,>=0.0.0
1060,qingting,>=0.0.0
1059,node-buc,>=0.0.0
1058,next-util,>=0.0.0
1057,midway-xtpl,>=0.0.0
1056,midway-dataproxy,>=0.0.0
1055,luna-mock,>=0.0.0
1054,hsf-clients,>=0.0.0
1053,hpmm,>=0.0.0
1052,diamond-clien,>=0.0.0
1051,cicada-render,>=0.0.0
1050,appx-compiler,>=0.0.0
1049,antd-cloud,>=0.0.0
1048,alipayjsapi,>=0.0.0
1047,alico,>=0.0.0
1046,ali-contributors,>=0.0.0
1045,ali-contributor,>=0.0.0
1044,only-test-not-install,>=0.0.0
1043,my-very-own-package,>=0.0.0
1042,maybemaliciouspackage,>=0.0.0
1041,leetlog,>=0.1.2
1040,malicious-do-not-install,>=0.0.0
1022,rpc-websocket,>=0.7.7
1011,smartsearchwp,>=0
951,maleficent,>=0
949,pm-controls,1.1.8
948,ngx-pica,1.1.5
947,mx-nested-menu,0.1.30
946,react-datepicker-plus,2.4.2 2.4.3
945,vue-backbone,0.1.2
944,scroool,0.1.7
943,radicjs,0.2.1
942,radic-util,1.0.2
941,precode.js,1.1.1
940,ng-ui-library,1.0.987
939,motiv.scss,0.4.20
938,libubx,1.0.3
937,leaflet-gpx,1.0.1
936,jekyll-for-github-projects,0.2.12
935,grunt-radical,0.0.14
934,grunt-radic,0.1.1
933,github-jquery-widgets,0.1.2
932,geoheat,1.3.2
931,ember-power-timepicker,1.0.8
930,angular-location-update,0.0.3
929,test-module-a,>=0
927,electron-native-notify,>=0
925,epress,>=0
924,commqnder,>=0
923,commmander,>=0
921,blubird,>=0
920,shrugging-logging,>=0
919,font-scrubber,>=0
918,angluar-cli,>=0
914,kraken-api,0.1.8
913,rimrafall,>=0
912,yeoman-genrator,>=0
911,uglyfi-js,>=0
910,tensorplow,>=0
909,require-ports,>=0
908,logsymbles,>=0
907,jquerz,>=0
906,jqeury,>=0
905,hulp,>=0
904,froever,>=0
903,colour-string,>=0
902,colro-name,>=0
900,browserift,>=0
899,bowe,>=0
898,whiteproject,>=0
897,bowee,>=0
896,saync,>=0
895,reqest,>=0
890,destroyer-of-worlds,>=0
887,donotinstallthis,>=0
874,carloprojectdiscord,>=0
873,discord_debug_log,>=0
872,carloprojectlesang,>=0
871,erquest,>=0
870,rqeuest,>=0
869,requset,>=0
868,requets,>=0
867,equest,>=0
866,reuest,>=0
865,requst,>=0
864,requet,>=0
863,reques,>=0
862,rrequest,>=0
861,reequest,>=0
860,reqquest,>=0
859,requuest,>=0
858,requeest,>=0
857,requesst,>=0
856,requestt,>=0
855,calk,>=0
854,chak,>=0
853,eact,>=0
852,experss,>=0
851,exprss,>=0
850,commnader,>=0
849,momen,>=0
848,aysnc,>=0
847,asnyc,>=0
846,asycn,>=0
845,asnc,>=0
844,aasync,>=0
843,asyync,>=0
842,asynnc,>=0
841,asymc,>=0
840,asinc,>=0
839,wepack-cli,>=0
838,jajajejejiji,>=0
837,4equest,>=0
774,stream-combine,2.0.2
765,portionfatty12,*
764,rrgod,*
763,commander-js,*
737,flatmap-stream,0.1.1
688,foever,>=0
687,soket.js,>=0
686,soket.io,>=0
685,regenrator,>=0
684,regenraotr,>=0
683,axois,>=0
677,boogeyman,>=0.0.0
675,eslint-config-airbnb-standard,2.0.0
674,eslint-config-eslint,5.0.2
673,eslint-scope,3.7.2
651,ladder-text-js,>=0
650,nothing-js,>=0
649,getcookies,>=0
640,dictum.js,1.0.5
639,nginxbeautifier,1.0.14
638,xoc,1.0.7
637,simple-alipay,1.0.1
636,s3asy,0.4.8 
635,react-server-native,0.0.7
634,react-dates-sc,0.3.0
633,rc-calendar-jhorst,8.4.3
632,oauth-validator,1.0.2
631,modlibrary,0.1.1
630,json-serializer ,2.0.10
629,jasmin,0.0.3
628,impala,1.1.7
627,freshdom,0.0.6
626,dynamo-schema,0.0.3
625,dossier,0.0.4
624,css_transform_support,1.0.2
623,css_transform_step,1.0.6
622,cordova-plugin-china-picker,1.0.910
621,coffee-project,1.7.5
620,codify,0.3.1
619,blingjs,0.0.4
618,awesome_react_utility,1.0.2
617,another-date-range-picker,4.1.48 
616,another-date-picker,2.0.43 
615,angular-material-sidenav-rnd,0.1.1
614,angular-bmap,0.0.9
613,@impala/bmap,1.0.3
481,npm-script-demo,>=0
